original,english,french,espanol,italiano,german,dutch,
Confirm new password,Confirm new password,Confirmer le nouveau mot de passe,Confirmar nueva contraseña,Conferma la nuova password,Bestätige neues Passwort,Bevestig nieuw wachtwoord,
Your password has been successfully updated,Your password has been successfully updated,Votre mot de passe a été modifié avec succès,Su contraseña ha sido actualizada satisfactoriamente,La tua password è stata aggiornata con successo,Ihr Passwort wurde erfolgreich aktualisiert,je wachtwoord is succesvol geupdate,
Continue,Continue,Continuer,Continuar,Continua,Fortsetzen,Doorgaan,
createaccount.component,createaccount.component,createaccount.component,createaccount.component,createaccount.component,createaccount.component,createaccount.component,
Request connection,Request connection,Demander une connexion,Solicitar conexión,Richiedi connessione,Verbindung anfordern,Aansluiting aanvragen,
Create your Quick Connect account,Create your Quick Connect account,Créez votre compte Quick Connect,Crea tu cuenta de conexión rápida,Crea il tuo account Connessione rapida,Erstellen Sie Ihr Quick Connect-Konto,Maak uw Quick Connect-account aan,
First name,First name,Prénom,Nombre de pila,Nome di battesimo,Vorname,Voornaam,
surname,surname,nom de famille,apellido,cognome,Familien-oder Nachname,achternaam,
email,email,e-mail,Email,e-mail,Email,e-mailen,
phone,phone,téléphoner,teléfono,Telefono,Telefon,telefoon,
id type,id type,type d'identifiant,tipo de identificación,tipo di documento d'identità,ID-Typ,ID Type,
passport,passport,passeport,pasaporte,passaporto,Reisepass,paspoort,
other,other,autre,otro,Altro,Sonstiges,ander,
id number,id number,numéro d'identification,número de identificación,numero di identificazione,ID-Nummer,ID nummer,
create an account password,create an account password,créer un mot de passe de compte,crear una contraseña de cuenta,creare una password dell'account,Erstellen Sie ein Kontopasswort,maak een accountwachtwoord aan,
Continue,Continue,Continuer,Continuar,Continua,Fortsetzen,Doorgaan,
forgotpassword.component,forgotpassword.component,forgotpassword.component,forgotpassword.component,forgotpassword.component,forgotpassword.component,forgotpassword.component,
Enter your email here. Click NEXT and you will receive an email with a link to change your password.,Enter your email here. Click NEXT and you will receive an email with a link to change your password.,Entrez votre e-mail ici. Cliquez sur SUIVANT et vous recevrez un e-mail avec un lien pour changer votre mot de passe.,Introduzca su correo electrónico aquí. Haga clic en SIGUIENTE y recibirá un correo electrónico con un enlace para cambiar su contraseña.,Inserisci la tua email qua. Fai clic su AVANTI e riceverai un'e-mail con un collegamento per modificare la password.,Gib deine E-Mail hier ein. Klicken Sie auf WEITER und Sie erhalten eine E-Mail mit einem Link zum Ändern Ihres Passworts.,Vul je email hier in. Klik op VOLGENDE en u ontvangt een e-mail met een link om uw wachtwoord te wijzigen.,
NEXT,NEXT,SUIVANT,SIGUIENTE,PROSSIMO,NÄCHSTE,DE VOLGENDE,
qrscancode.component,qrscancode.component,qrscancode.component,qrscancode.component,qrscancode.component,qrscancode.component,qrscancode.component,
Scan QR code,Scan QR code,Scannez le code QR,Escanear código QR,Scansiona il codice QR,QR-Code scannen,Scan QR-code,
Find code to scan,Find code to scan,Trouver le code à scanner,Encuentra el código para escanear,Trova il codice da scansionare,Code zum Scannen finden,Zoek code om te scannen,
rforgotpassword.component,rforgotpassword.component,rforgotpassword.component,rforgotpassword.component,rforgotpassword.component,rforgotpassword.component,rforgotpassword.component,
We don't recognise the email you entered. Please try again.,We don't recognise the email you entered. Please try again.,Nous ne reconnaissons pas l'e-mail que vous avez saisi. Veuillez réessayer.,No reconocemos el correo electrónico que ingresó. Inténtalo de nuevo.,Non riconosciamo l'e-mail che hai inserito. Per favore riprova.,Wir erkennen die von Ihnen eingegebene E-Mail-Adresse nicht. Bitte versuche es erneut.,We herkennen het e-mailadres dat je hebt ingevoerd niet. Probeer het opnieuw.,
NEXT,NEXT,SUIVANT,SIGUIENTE,PROSSIMO,NÄCHSTE,DE VOLGENDE,
app.component,app.component,app.component,app.component,app.component,app.component,app.component,
extenders.component,extenders.component,extenders.component,extenders.component,extenders.component,extenders.component,extenders.component,
Install extenders,Install extenders,Installer des prolongateurs,Instalar extensores,Installa gli estensori,Installieren Sie Extender,Installeer verlengers,
To install your extenders you need to connect to the partner website. Choose your extender brand,To install your extenders you need to connect to the partner website. Choose your extender brand,"Pour installer vos prolongateurs, vous devez vous connecter au site Web du partenaire. Choisissez votre marque de prolongateur","Para instalar sus extensores, debe conectarse al sitio web del socio. Elija su marca de extensor",Per installare i tuoi extender devi connetterti al sito web del partner. Scegli il marchio dell'extender,"Um Ihre Extender zu installieren, müssen Sie sich mit der Partner-Website verbinden. Wählen Sie Ihre Extender-Marke","Om uw extenders te installeren, moet u verbinding maken met de partnerwebsite. Kies uw merk extender",
modemadd.component,modemadd.component,modemadd.component,modemadd.component,modemadd.component,modemadd.component,modemadd.component,
Install modem,Install modem,Installer le modem,Instalar módem,Installa modem,Modem installieren,Modem installeren,
Choose how you would like to connect your modem,Choose how you would like to connect your modem,Choisissez comment vous souhaitez connecter votre modem,Elige cómo te gustaría conectar tu módem,Scegli come vuoi connettere il tuo modem,"Wählen Sie aus, wie Sie Ihr Modem anschließen möchten",Kies hoe u uw modem wilt aansluiten,
Scan the QR code,Scan the QR code,Scannez le code QR,Escanea el código QR,Scansiona il codice QR,Scannen Sie den QR-Code,Scan de QR-code,
Use qconnect Wifi (doesn't use your data),Use qconnect Wifi (doesn't use your data),Utiliser qconnect Wifi (n'utilise pas vos données),Usa qconnect Wifi (no usa tus datos),Usa qconnect Wifi (non usa i tuoi dati),Verwenden Sie qconnect Wifi (verwendet nicht Ihre Daten),Gebruik qconnect Wifi (gebruikt je data niet),
Manual entry of the modem MAC Address,Manual entry of the modem MAC Address,Saisie manuelle de l'adresse MAC du modem,Entrada manual de la dirección MAC del módem,Inserimento manuale dell'indirizzo MAC del modem,Manuelle Eingabe der MAC-Adresse des Modems,Handmatige invoer van het MAC-adres van de modem,
See help videos,See help videos,Voir les vidéos d'aide,Ver videos de ayuda,Guarda i video di aiuto,Siehe Hilfevideos,Zie hulpvideo's,
modemmanualentry.component,modemmanualentry.component,modemmanualentry.component,modemmanualentry.component,modemmanualentry.component,modemmanualentry.component,modemmanualentry.component,
Install modem,Install modem,Installer le modem,Instalar módem,Installa modem,Modem installieren,Modem installeren,
Enter the MAC address of your modem. You will find it on the sticker at the bottom of your modem.,Enter the MAC address of your modem. You will find it on the sticker at the bottom of your modem.,Entrez l'adresse MAC de votre modem. Vous le trouverez sur l'autocollant au bas de votre modem.,Ingrese la dirección MAC de su módem. Lo encontrarás en la etiqueta en la parte inferior de tu módem.,Inserisci l'indirizzo MAC del tuo modem. Lo troverai sull'adesivo nella parte inferiore del tuo modem.,Geben Sie die MAC-Adresse Ihres Modems ein. Sie finden es auf dem Aufkleber an der Unterseite Ihres Modems.,Voer het MAC-adres van uw modem in. U vindt deze op de sticker aan de onderkant van uw modem.,
further details ???? what next???,further details ???? what next???,plus de détails ???? et après ???,más detalles ???? ¿¿¿qué sigue???,maggiori dettagli ???? cosa dopo???,weitere Details ???? was nun???,verdere details ???? wat nu???,
Security key,Security key,Clef de sécurité,Clave de seguridad,Chiave di sicurezza,Sicherheitsschlüssel,Veiligheidssleutel,
Continue,Continue,Continuer,Continuar,Continua,Fortsetzen,Doorgaan,
modemname.component,modemname.component,modemname.component,modemname.component,modemname.component,modemname.component,modemname.component,
Install modem,Install modem,Installer le modem,Instalar módem,Installa modem,Modem installieren,Modem installeren,
Congratulations,Congratulations,Toutes nos félicitations,Felicidades,Congratulazioni,Herzliche Glückwünsche,Gefeliciteerd,
You have installed a new modem/ONT.,You have installed a new modem/ONT.,Vous avez installé un nouveau modem/ONT.,Ha instalado un nuevo módem/ONT.,Hai installato un nuovo modem/ONT.,Sie haben ein neues Modem/ONT installiert.,U heeft een nieuwe modem/ONT geïnstalleerd.,
Give your new modem a nickname,Give your new modem a nickname,Donnez un surnom à votre nouveau modem,Dale un apodo a tu nuevo módem,Dai un soprannome al tuo nuovo modem,Geben Sie Ihrem neuen Modem einen Spitznamen,Geef je nieuwe modem een ​​bijnaam,
Eg: Home-wifi,Eg: Home-wifi,Par exemple : Wi-Fi domestique,Por ejemplo: Wifi doméstico,Es: Home-wifi,Beispiel: Heim-WLAN,Bijv.: Thuis-wifi,
And create a wifi password,And create a wifi password,Et créez un mot de passe wifi,Y crea una contraseña wifi.,E crea una password wifi,Und erstellen Sie ein WLAN-Passwort,En maak een wifi-wachtwoord aan,
Confirm,Confirm,Confirmer,Confirmar,Confermare,Bestätigen,Bevestigen,
modemqcwifi.component,modemqcwifi.component,modemqcwifi.component,modemqcwifi.component,modemqcwifi.component,modemqcwifi.component,modemqcwifi.component,
Install modem,Install modem,Installer le modem,Instalar módem,Installa modem,Modem installieren,Modem installeren,
Home name,Home name,Nom de la maison,Nombre de la casa,Nome di casa,Hausname,Naam huis,
You can use the temporary quick connect wifi to install your modem.,You can use the temporary quick connect wifi to install your modem.,Vous pouvez utiliser le wifi de connexion rapide temporaire pour installer votre modem.,Puede usar el wifi de conexión rápida temporal para instalar su módem.,È possibile utilizzare il Wi-Fi a connessione rapida temporanea per installare il modem.,"Sie können das temporäre Schnellverbindungs-WLAN verwenden, um Ihr Modem zu installieren.",U kunt gebruik maken van de tijdelijke quick connect wifi om uw modem te installeren.,
further details ???? what next???,further details ???? what next???,plus de détails ???? et après ???,más detalles ???? ¿¿¿qué sigue???,maggiori dettagli ???? cosa dopo???,weitere Details ???? was nun???,verdere details ???? wat nu???,
note: diagram of ????,note: diagram of ????,note : schéma de ????,nota: diagrama de ????,nota: schema di ????,Hinweis: Diagramm von ????,opmerking: diagram van ????,
more details ....,more details ....,plus de détails ....,más detalles ....,più dettagli ....,mehr Details ....,meer details ....,
modemqcwifi2.component,modemqcwifi2.component,modemqcwifi2.component,modemqcwifi2.component,modemqcwifi2.component,modemqcwifi2.component,modemqcwifi2.component,
Install modem,Install modem,Installer le modem,Instalar módem,Installa modem,Modem installieren,Modem installeren,
Your new modem is now attached to your account for this home. You need to finish the Quick Connect process by giving your modem a nickname.,Your new modem is now attached to your account for this home. You need to finish the Quick Connect process by giving your modem a nickname.,Votre nouveau modem est maintenant rattaché à votre compte pour cette maison. Vous devez terminer le processus de connexion rapide en donnant un surnom à votre modem.,Su nuevo módem ahora está conectado a su cuenta para esta casa. Debe finalizar el proceso de conexión rápida dándole un apodo a su módem.,Il tuo nuovo modem è ora collegato al tuo account per questa casa. È necessario completare il processo di connessione rapida assegnando un soprannome al modem.,"Ihr neues Modem ist jetzt mit Ihrem Konto für dieses Zuhause verbunden. Sie müssen den Quick Connect-Vorgang abschließen, indem Sie Ihrem Modem einen Spitznamen geben.",Je nieuwe modem is nu gekoppeld aan je account voor dit huis. U moet het Quick Connect-proces voltooien door uw modem een ​​bijnaam te geven.,
Enter the modem nickname,Enter the modem nickname,Entrez le pseudo du modem,Introduzca el apodo del módem,Immettere il nickname del modem,Geben Sie den Kurznamen des Modems ein,Voer de bijnaam van het modem in,
Finish,Finish,Finir,Finalizar,Fine,Fertig,Af hebben,
modemscaninfo.component,modemscaninfo.component,modemscaninfo.component,modemscaninfo.component,modemscaninfo.component,modemscaninfo.component,modemscaninfo.component,
Install modem,Install modem,Installer le modem,Instalar módem,Installa modem,Modem installieren,Modem installeren,
Scan the QR code that is on the bottom of the modem,Scan the QR code that is on the bottom of the modem,Scannez le code QR qui se trouve sous le modem,Escanee el código QR que se encuentra en la parte inferior del módem,Scansiona il codice QR che si trova nella parte inferiore del modem,"Scannen Sie den QR-Code, der sich auf der Unterseite des Modems befindet",Scan de QR-code die op de onderkant van het modem staat,
note: diagram of where to find the QR code,note: diagram of where to find the QR code,note : schéma indiquant où trouver le code QR,nota: diagrama de donde encontrar el código QR,nota: diagramma di dove trovare il codice QR,"Hinweis: Diagramm, wo der QR-Code zu finden ist",opmerking: diagram van waar de QR-code te vinden is,
(Go to camera mode on your smartphone and flash the QR code. You need to allow the application 'Quick Connect' to have access to your camera.),(Go to camera mode on your smartphone and flash the QR code. You need to allow the application 'Quick Connect' to have access to your camera.),(Passez en mode appareil photo sur votre smartphone et flashez le code QR. Vous devez autoriser l'application 'Quick Connect' à accéder à votre appareil photo.),(Vaya al modo de cámara en su teléfono inteligente y muestre el código QR. Debe permitir que la aplicación 'Conexión rápida' tenga acceso a su cámara).,"(Vai alla modalità fotocamera sul tuo smartphone e fai lampeggiare il codice QR. Devi consentire all'applicazione ""Connessione rapida"" di accedere alla tua fotocamera.)","(Gehen Sie auf Ihrem Smartphone in den Kameramodus und flashen Sie den QR-Code. Sie müssen der Anwendung „Quick Connect“ erlauben, auf Ihre Kamera zuzugreifen.)",(Ga naar de cameramodus op je smartphone en flits de QR-code. Je moet de applicatie 'Quick Connect' toestemming geven om toegang te krijgen tot je camera.),
newCPE.component,newCPE.component,newCPE.component,newCPE.component,newCPE.component,newCPE.component,newCPE.component,
Install equipment,Install equipment,Installer l'équipement,Instalar equipo,Installare l'attrezzatura,Ausrüstung installieren,Apparatuur installeren,
"Welcome to the Quick Connect process to set up your equipment. Follow the links below. Note, they are in a specific order","Welcome to the Quick Connect process to set up your equipment. Follow the links below. Note, they are in a specific order","Bienvenue dans le processus de connexion rapide pour configurer votre équipement. Suivez les liens ci-dessous. Attention, ils sont dans un ordre spécifique",Bienvenido al proceso Quick Connect para configurar su equipo. Siga los enlaces a continuación. Tenga en cuenta que están en un orden específico.,"Benvenuto nel processo Quick Connect per configurare la tua attrezzatura. Segui i link qui sotto. Nota, sono in un ordine specifico","Willkommen beim Quick Connect-Prozess zum Einrichten Ihrer Geräte. Folgen Sie den Links unten. Beachten Sie, dass sie in einer bestimmten Reihenfolge sind","Welkom bij het Quick Connect-proces om uw apparatuur in te stellen. Volg de onderstaande links. Let op, ze staan ​​in een bepaalde volgorde",
step 1,step 1,étape 1,paso 1,passo 1,Schritt 1,stap 1,
Install modem,Install modem,Installer le modem,Instalar módem,Installa modem,Modem installieren,Modem installeren,
Install,Install,Installer,Instalar,Installare,Installieren,Installeren,
Done,Done,Fait,Hecho,Fatto,Fertig,Gedaan,
note: diagram of the modem packaging and contents,note: diagram of the modem packaging and contents,note : schéma de l'emballage et du contenu du modem,nota: diagrama del paquete y contenido del módem,nota: schema della confezione e del contenuto del modem,Hinweis: Diagramm der Verpackung und des Inhalts des Modems,opmerking: diagram van de modemverpakking en inhoud,
step 2,step 2,étape 2,paso 2,passo 2,Schritt 2,stap 2,
Install wifi extenders,Install wifi extenders,Installer des extensions Wi-Fi,Instalar extensores wifi,Installa estensori wifi,Installieren Sie WLAN-Extender,Installeer wifi-extenders,
note: diagram of the wifi extenders packaging and contents,note: diagram of the wifi extenders packaging and contents,note : schéma de l'emballage et du contenu des extensions wifi,nota: diagrama del embalaje y contenido de los extensores wifi,nota: schema della confezione e del contenuto degli estensori wifi,Hinweis: Diagramm der Verpackung und des Inhalts des WLAN-Extenders,opmerking: diagram van de verpakking en inhoud van de wifi-extenders,
step 3,step 3,étape 3,paso 3,passaggio 3,Schritt 3,stap 3,
Install video / set top box,Install video / set top box,Installer la vidéo/le décodeur,Instalar video / set top box,Installa video / set top box,Video-/Set-Top-Box installieren,Video/settopbox installeren,
note: diagram of the set top box packaging and contents,note: diagram of the set top box packaging and contents,remarque : schéma de l'emballage et du contenu du décodeur,nota: diagrama del embalaje y contenido del decodificador,nota: schema della confezione e del contenuto del set top box,Hinweis: Diagramm der Verpackung und des Inhalts der Set-Top-Box,opmerking: schema van de set-top box verpakking en inhoud,
stbadd.component,stbadd.component,stbadd.component,stbadd.component,stbadd.component,stbadd.component,stbadd.component,
Install set-top box,Install set-top box,Installer le décodeur,Instalar decodificador,Installa il decoder,Set-Top-Box installieren,Settopbox installeren,
Choose how you would like to connect your set-top box,Choose how you would like to connect your set-top box,Choisissez comment vous souhaitez connecter votre décodeur,Elige cómo te gustaría conectar tu decodificador,Scegli come desideri connettere il tuo set-top box,"Wählen Sie aus, wie Sie Ihre Set-Top-Box anschließen möchten",Kies hoe u uw settopbox wilt aansluiten,
Scan the QR code,Scan the QR code,Scannez le code QR,Escanea el código QR,Scansiona il codice QR,Scannen Sie den QR-Code,Scan de QR-code,
Manual entry of the STB serial number,Manual entry of the STB serial number,Saisie manuelle du numéro de série STB,Entrada manual del número de serie del STB,Inserimento manuale del numero di serie STB,Manuelle Eingabe der STB-Seriennummer,Handmatige invoer van het STB-serienummer,
See help videos,See help videos,Voir les vidéos d'aide,Ver videos de ayuda,Guarda i video di aiuto,Siehe Hilfevideos,Zie hulpvideo's,
stbmanualentry.component,stbmanualentry.component,stbmanualentry.component,stbmanualentry.component,stbmanualentry.component,stbmanualentry.component,stbmanualentry.component,
Install STB,Install STB,Installer le décodeur,Instalar STB,Installa STB,STB installieren,STB installeren,
Enter the serial number of your set-top box. You will find it on the sticker at the bottom.,Enter the serial number of your set-top box. You will find it on the sticker at the bottom.,Saisissez le numéro de série de votre décodeur. Vous le trouverez sur l'autocollant en bas.,Introduzca el número de serie de su decodificador. Lo encontrarás en la pegatina de la parte inferior.,Inserisci il numero di serie del tuo set-top box. Lo troverai sull'adesivo in basso.,Geben Sie die Seriennummer Ihrer Set-Top-Box ein. Sie finden es auf dem Aufkleber unten.,Voer het serienummer van uw settopbox in. Deze vindt u op de sticker onderaan.,
further details ???? what next???,further details ???? what next???,plus de détails ???? et après ???,más detalles ???? ¿¿¿qué sigue???,maggiori dettagli ???? cosa dopo???,weitere Details ???? was nun???,verdere details ???? wat nu???,
Security key,Security key,Clef de sécurité,Clave de seguridad,Chiave di sicurezza,Sicherheitsschlüssel,Veiligheidssleutel,
Continue,Continue,Continuer,Continuar,Continua,Fortsetzen,Doorgaan,
stbscaninfo.component,stbscaninfo.component,stbscaninfo.component,stbscaninfo.component,stbscaninfo.component,stbscaninfo.component,stbscaninfo.component,
Install STB,Install STB,Installer le décodeur,Instalar STB,Installa STB,STB installieren,STB installeren,
Scan the QR code that is on the bottom of the set-top box,Scan the QR code that is on the bottom of the set-top box,Scannez le code QR qui se trouve sous le décodeur,Escanee el código QR que se encuentra en la parte inferior del decodificador,Scansiona il codice QR che si trova nella parte inferiore del set-top box,"Scannen Sie den QR-Code, der sich auf der Unterseite der Set-Top-Box befindet",Scan de QR-code die op de onderkant van de settopbox staat,
note: diagram of where to find the QR code,note: diagram of where to find the QR code,note : schéma indiquant où trouver le code QR,nota: diagrama de donde encontrar el código QR,nota: diagramma di dove trovare il codice QR,"Hinweis: Diagramm, wo der QR-Code zu finden ist",opmerking: diagram van waar de QR-code te vinden is,
(Go to camera mode on your smartphone and flash the QR code. You need to allow the application 'Quick Connect' to have access to your camera.),(Go to camera mode on your smartphone and flash the QR code. You need to allow the application 'Quick Connect' to have access to your camera.),(Passez en mode appareil photo sur votre smartphone et flashez le code QR. Vous devez autoriser l'application 'Quick Connect' à accéder à votre appareil photo.),(Vaya al modo de cámara en su teléfono inteligente y muestre el código QR. Debe permitir que la aplicación 'Conexión rápida' tenga acceso a su cámara).,"(Vai alla modalità fotocamera sul tuo smartphone e fai lampeggiare il codice QR. Devi consentire all'applicazione ""Connessione rapida"" di accedere alla tua fotocamera.)","(Gehen Sie auf Ihrem Smartphone in den Kameramodus und flashen Sie den QR-Code. Sie müssen der Anwendung „Quick Connect“ erlauben, auf Ihre Kamera zuzugreifen.)",(Ga naar de cameramodus op je smartphone en flits de QR-code. Je moet de applicatie 'Quick Connect' toestemming geven om toegang te krijgen tot je camera.),
firstreminder.component,firstreminder.component,firstreminder.component,firstreminder.component,firstreminder.component,firstreminder.component,firstreminder.component,
Equipment return,Equipment return,Retour du matériel,Devolución de equipos,Restituzione dell'attrezzatura,Geräterückgabe,Retourneren van apparatuur,
Internet nickname,Internet nickname,Pseudonyme Internet,apodo de Internet,Soprannome Internet,Internet-Spitzname,Internet-bijnaam,
Oh dear - we need you to return your old equipment,Oh dear - we need you to return your old equipment,Oh mon Dieu - nous avons besoin que vous retourniez votre ancien équipement,"Oh querido, necesitamos que devuelvas tu viejo equipo","Oh cielo, abbiamo bisogno che tu restituisca la tua vecchia attrezzatura","Oh je - wir brauchen Sie, um Ihr altes Gerät zurückzugeben",Oh jee - we hebben je nodig om je oude apparatuur terug te brengen,
You have recently swapped your modem/ONT,You have recently swapped your modem/ONT,Vous venez d'échanger votre modem/ONT,Ha cambiado recientemente su módem/ONT,Hai recentemente scambiato il tuo modem/ONT,Sie haben kürzlich Ihr Modem/ONT ausgetauscht,Je hebt onlangs je modem/ONT verwisseld,
You are getting this message because you haven't returned your old equipment.If you don't return it before dd/mm/yyyy,You are getting this message because you haven't returned your old equipment.If you don't return it before dd/mm/yyyy,Vous recevez ce message car vous n'avez pas retourné votre ancien équipement. Si vous ne le retournez pas avant le jj/mm/aaaa,Estás recibiendo este mensaje porque no has devuelto tu antiguo equipo. Si no lo devuelves antes del dd/mm/aaaa,Ricevi questo messaggio perché non hai restituito la tua vecchia attrezzatura. Se non la restituisci prima del gg/mm/aaaa,"Sie erhalten diese Nachricht, weil Sie Ihr altes Gerät nicht zurückgegeben haben. Wenn Sie es nicht vor dem TT/MM/JJJJ zurücksenden",U krijgt deze melding omdat u uw oude apparatuur niet heeft ingeleverd. Als u deze niet voor dd/mm/jjjj inlevert,
Your wifi bandwith will be reduced to 1Mbps,Your wifi bandwith will be reduced to 1Mbps,Votre bande passante wifi sera réduite à 1Mbps,Su ancho de banda wifi se reducirá a 1Mbps,La tua banda wifi sarà ridotta a 1Mbps,Ihre WLAN-Bandbreite wird auf 1 Mbit/s reduziert,Je wifi-bandbreedte wordt teruggebracht tot 1 Mbps,
You will be reminded to return your modem on a daily basis,You will be reminded to return your modem on a daily basis,Il vous sera rappelé quotidiennement de rendre votre modem,Se le recordará que devuelva su módem diariamente,Ti verrà ricordato di restituire il modem ogni giorno,"Sie werden täglich daran erinnert, Ihr Modem zurückzugeben",U wordt er dagelijks aan herinnerd om uw modem in te leveren,
How do I return my old equiment?,How do I return my old equiment?,Comment rendre mon ancien matériel ?,¿Cómo devuelvo mi viejo equipo?,Come posso restituire la mia vecchia attrezzatura?,Wie gebe ich mein altes Gerät zurück?,Hoe lever ik mijn oude apparatuur in?,
returninfo.component,returninfo.component,returninfo.component,returninfo.component,returninfo.component,returninfo.component,returninfo.component,
Equipment return,Equipment return,Retour du matériel,Devolución de equipos,Restituzione dell'attrezzatura,Geräterückgabe,Retourneren van apparatuur,
Internet nickname,Internet nickname,Pseudonyme Internet,apodo de Internet,Soprannome Internet,Internet-Spitzname,Internet-bijnaam,
Oh dear - we need you to return your old equipment,Oh dear - we need you to return your old equipment,Oh mon Dieu - nous avons besoin que vous retourniez votre ancien équipement,"Oh querido, necesitamos que devuelvas tu viejo equipo","Oh cielo, abbiamo bisogno che tu restituisca la tua vecchia attrezzatura","Oh je - wir brauchen Sie, um Ihr altes Gerät zurückzugeben",Oh jee - we hebben je nodig om je oude apparatuur terug te brengen,
How to return your old modem,How to return your old modem,Comment retourner votre ancien modem,Cómo devolver tu antiguo módem,Come restituire il vecchio modem,So geben Sie Ihr altes Modem zurück,Hoe u uw oude modem retourneert,
Put your old modem back into the pre-paid packaging you were provided. You can take it to be posted or directly back to your closest store.,Put your old modem back into the pre-paid packaging you were provided. You can take it to be posted or directly back to your closest store.,Remettez votre ancien modem dans l'emballage prépayé qui vous a été fourni. Vous pouvez l'apporter pour être posté ou directement dans votre magasin le plus proche.,Vuelva a colocar su antiguo módem en el paquete prepago que se le proporcionó. Puedes llevarlo para que lo envíen por correo o directamente a tu tienda más cercana.,Riponi il tuo vecchio modem nella confezione prepagata che ti è stata fornita. Puoi portarlo per essere spedito o direttamente al tuo negozio più vicino.,"Legen Sie Ihr altes Modem wieder in die frankierte Verpackung, die Sie erhalten haben. Sie können es zur Post bringen oder direkt zu Ihrem nächstgelegenen Geschäft zurückbringen.",Stop je oude modem terug in de prepaidverpakking die je hebt gekregen. U kunt het naar de post brengen of rechtstreeks terugbrengen naar uw dichtstbijzijnde winkel.,
I don't have the packaging,I don't have the packaging,je n'ai pas l'emballage,no tengo el empaque,Non ho la confezione,Verpackung habe ich nicht,Ik heb de verpakking niet,
Continue to Internet,Continue to Internet,Continuer vers Internet,Continuar a Internet,Continua su Internet,Weiter zu Internet,Ga verder naar internet,
walledgarden.component,walledgarden.component,walledgarden.component,walledgarden.component,walledgarden.component,walledgarden.component,walledgarden.component,
Equipment return,Equipment return,Retour du matériel,Devolución de equipos,Restituzione dell'attrezzatura,Geräterückgabe,Retourneren van apparatuur,
Internet nickname,Internet nickname,Pseudonyme Internet,apodo de Internet,Soprannome Internet,Internet-Spitzname,Internet-bijnaam,
